Task,Timestamp, weight, cogX , cogY , bl, br, tl, tr, accX, accY, accZ, falls
3,10.14145,0,0,0,0,0,0,0,0.6666667,0.7407407,0.3333333,0
3,10.15802,0,0,0,0,0,0,0,1,0.8148148,0.2222222,0
3,10.17459,0,0,0,0,0,0,0,1.481481,0.9259259,0.1111111,0
3,10.19116,0,0,0,0,0,0,0,1.814815,1.037037,0.1851852,0
3,10.20772,0,0,0,0,0,0,0,1.814815,1.037037,0.2222222,0
3,10.22429,0,0,0,0,0,0,0,1.666667,1,0.2592593,0
3,10.24085,0,0,0,0,0,0,0,1.62963,0.962963,0.2592593,0
3,10.25742,0,0,0,0,0,0,0,1.703704,0.9259259,0.2592593,0
3,10.27399,0,0,0,0,0,0,0,1.777778,1.037037,0.5185185,0
3,10.29056,0,0,0,0,0,0,0,1.740741,1.074074,0.6296296,0
3,10.30712,0,0,0,0,0,0,0,1.444444,1.074074,0.7777778,0
3,10.32388,0,0,0,0,0,0,0,0.7407407,1.222222,1.148148,0
3,10.34025,0,0,0,0,0,0,0,0.4074074,1.407407,1.296296,0
3,10.35696,0,0,0,0,0,0,0,-0.7777778,1.740741,1.851852,0
3,10.37339,0,0,0,0,0,0,0,-1.703704,1.407407,2.333333,0
3,10.39003,0,0,0,0,0,0,0,-2.703704,-0.2962963,1.851852,0
3,10.40708,0,0,0,0,0,0,0,-2.888889,-0.8888889,0.8888889,0
3,10.42309,0,0,0,0,0,0,0,-2.703704,-0.8148148,0.5555556,0
3,10.44014,0,0,0,0,0,0,0,-1.962963,-0.6296296,0.5185185,0
3,10.45683,0,0,0,0,0,0,0,-1.666667,-0.4814815,0.7407407,0
3,10.47279,0,0,0,0,0,0,0,-1.333333,-0.3333333,0.962963,0
3,10.48936,0,0,0,0,0,0,0,-1.333333,-0.3333333,0.962963,0
3,10.50627,0,0,0,0,0,0,0,-1.111111,-0.5185185,1.037037,0
3,10.52289,0,0,0,0,0,0,0,-1.296296,-0.8888889,1.333333,0
3,10.53906,0,0,0,0,0,0,0,-1.444444,-1.074074,1.444444,0
3,10.55562,0,0,0,0,0,0,0,-1.333333,-1,1.444444,0
3,10.57219,0,0,0,0,0,0,0,-1.111111,-0.7407407,1.407407,0
3,10.58909,0,0,0,0,0,0,0,-1.037037,-0.6666667,1.444444,0
3,10.60532,0,0,0,0,0,0,0,-1.148148,-0.5555556,1.592593,0
3,10.62216,0,0,0,0,0,0,0,-1.296296,0.03703704,1.444444,0
3,10.63846,0,0,0,0,0,0,0,-1.111111,0.4074074,1.185185,0
3,10.65528,0,0,0,0,0,0,0,-0.5185185,0.962963,0.7037037,0
3,10.67159,0,0,0,0,0,0,0,0.4444444,1,0.3703704,0
3,10.68885,0,0,0,0,0,0,0,0.8518519,0.8148148,0.2962963,0
3,10.70488,0,0,0,0,0,0,0,1.37037,0.5185185,0.1481481,0
3,10.72129,0,0,0,0,0,0,0,1.444444,0.3333333,0.1111111,0
3,10.73796,0,0,0,0,0,0,0,1.37037,0.2962963,0.07407407,0
3,10.755,0,0,0,0,0,0,0,1.259259,0.2962963,0.07407407,0
3,10.77099,0,0,0,0,0,0,0,1.222222,0.2962963,0.03703704,0
3,10.78758,0,0,0,0,0,0,0,1.259259,0.3333333,-0.03703704,0
3,10.80459,0,0,0,0,0,0,0,1.481481,0.4814815,0.07407407,0
3,10.82069,0,0,0,0,0,0,0,1.62963,0.5555556,0.1481481,0
3,10.83725,0,0,0,0,0,0,0,1.962963,0.7777778,0.4074074,0
3,10.85382,0,0,0,0,0,0,0,1.703704,0.962963,0.7407407,0
3,10.87039,0,0,0,0,0,0,0,1.37037,0.962963,0.9259259,0
3,10.88696,0,0,0,0,0,0,0,0.6296296,0.962963,1.185185,0
3,10.90353,0,0,0,0,0,0,0,0.3703704,1,1.222222,0
3,10.9204,0,0,0,0,0,0,0,-0.1481481,1.518519,1.333333,0
3,10.93666,0,0,0,0,0,0,0,-1.296296,1.666667,1.888889,0
3,10.95322,0,0,0,0,0,0,0,-1.962963,1.222222,2.111111,0
3,10.97003,0,0,0,0,0,0,0,-2.481482,-0.07407407,1.777778,0
3,10.98635,0,0,0,0,0,0,0,-2.518518,-0.6296296,1,0
3,11.00313,0,0,0,0,0,0,0,-2.37037,-0.6666667,0.5925926,0
3,11.01967,0,0,0,0,0,0,0,-2.37037,-0.6666667,0.5925926,0
3,11.03621,0,0,0,0,0,0,0,-1.777778,-0.6666667,0.07407407,0
3,11.05277,0,0,0,0,0,0,0,-1.592593,-0.5555556,0.1481481,0
3,11.06919,0,0,0,0,0,0,0,-1.185185,-0.4074074,0.4814815,0
3,11.08585,0,0,0,0,0,0,0,-1.037037,-0.3703704,0.6666667,0
3,11.10232,0,0,0,0,0,0,0,-0.8518519,-0.3333333,0.9259259,0
3,11.11901,0,0,0,0,0,0,0,-0.8148148,-0.4444444,1.074074,0
3,11.13607,0,0,0,0,0,0,0,-0.8518519,-0.5555556,1.111111,0
3,11.15203,0,0,0,0,0,0,0,-1.037037,-0.7777778,1.111111,0
3,11.16859,0,0,0,0,0,0,0,-1.222222,-0.9259259,1.111111,0
3,11.18515,0,0,0,0,0,0,0,-1.222222,-0.9259259,1.037037,0
3,11.20172,0,0,0,0,0,0,0,-1.185185,-0.8518519,0.962963,0
3,11.21874,0,0,0,0,0,0,0,-1.148148,-0.7777778,0.9259259,0
3,11.23486,0,0,0,0,0,0,0,-1.037037,-0.5185185,0.8518519,0
3,11.25171,0,0,0,0,0,0,0,-0.8888889,-0.1111111,0.8148148,0
3,11.26799,0,0,0,0,0,0,0,-0.7037037,0.03703704,0.7407407,0
3,11.28456,0,0,0,0,0,0,0,-0.3333333,0.2592593,0.6296296,0
3,11.30112,0,0,0,0,0,0,0,0.1111111,0.2962963,0.4074074,0
3,11.31769,0,0,0,0,0,0,0,0.2962963,0.2592593,0.3333333,0
3,11.33502,0,0,0,0,0,0,0,0.5925926,0.1851852,0.4814815,0
3,11.35106,0,0,0,0,0,0,0,0.7407407,0,0.5555556,0
3,11.36759,0,0,0,0,0,0,0,0.7407407,-0.03703704,0.6296296,0
3,11.38414,0,0,0,0,0,0,0,1,-0.1481481,0.5185185,0
3,11.40052,0,0,0,0,0,0,0,1.148148,-0.1111111,0.5555556,0
3,11.41709,0,0,0,0,0,0,0,1.481481,0,0.4814815,0
3,11.43424,0,0,0,0,0,0,0,1.777778,0.1111111,0.6666667,0
3,11.45022,0,0,0,0,0,0,0,1.962963,0.2222222,0.7407407,0
3,11.46689,0,0,0,0,0,0,0,2.037037,0.3703704,0.6666667,0
3,11.48336,0,0,0,0,0,0,0,1.814815,0.4074074,0.6296296,0
3,11.49994,0,0,0,0,0,0,0,1.518519,0.4814815,0.5925926,0
3,11.51651,0,0,0,0,0,0,0,0.2962963,0.6296296,0.8148148,0
3,11.53307,0,0,0,0,0,0,0,-0.03703704,0.7777778,0.8888889,0
3,11.5501,0,0,0,0,0,0,0,-0.6666667,0.9259259,1.222222,0
3,11.5662,0,0,0,0,0,0,0,-1.518519,0.4074074,1.666667,0
3,11.58277,0,0,0,0,0,0,0,-1.777778,-0.03703704,1.592593,0
3,11.59933,0,0,0,0,0,0,0,-1.777778,-0.03703704,1.592593,0
3,11.61628,0,0,0,0,0,0,0,-1.814815,-0.5925926,0.7407407,0
3,11.63282,0,0,0,0,0,0,0,-1.666667,-0.6296296,0.3703704,0
3,11.64903,0,0,0,0,0,0,0,-1.296296,-0.5185185,0.3333333,0
3,11.6659,0,0,0,0,0,0,0,-1.148148,-0.5555556,0.4074074,0
3,11.68251,0,0,0,0,0,0,0,-1.259259,-0.6296296,0.5925926,0
3,11.70289,0,0,0,0,0,0,0,-1.37037,-0.7407407,0.8518519,0
3,11.71953,0,0,0,0,0,0,0,-1.333333,-0.7407407,0.962963,0
3,11.73602,0,0,0,0,0,0,0,-0.9259259,-0.6296296,0.9259259,0
3,11.75273,0,0,0,0,0,0,0,-0.5185185,-0.4814815,0.8888889,0
3,11.76925,0,0,0,0,0,0,0,-0.2962963,-0.4444444,0.8518519,0
3,11.78572,0,0,0,0,0,0,0,-0.2592593,-0.4444444,0.8148148,0
3,11.80229,0,0,0,0,0,0,0,-0.2222222,-0.4074074,0.7777778,0
3,11.81942,0,0,0,0,0,0,0,-0.2222222,-0.4074074,0.7777778,0
3,11.83546,0,0,0,0,0,0,0,-0.2222222,-0.4444444,0.7777778,0
3,11.85199,0,0,0,0,0,0,0,-0.2222222,-0.4444444,0.7777778,0
3,11.86856,0,0,0,0,0,0,0,-0.2592593,-0.4814815,0.8148148,0
3,11.88559,0,0,0,0,0,0,0,-0.2962963,-0.4814815,0.7777778,0
