#Starting log sesion
#3/1/2018 1:02:03 PM
cogX , cogY , weight, bl, br, tl, tr, falls
4.216099,2.242885,79.39358,69.70776,118.7578,57.20023,71.90849,0
4.579348,2.343023,81.7888,69.12557,126.3909,58.78162,72.85714,0
4.056407,1.87191,79.57163,68.19406,115.7744,60.20874,74.10938,0
4.056407,1.87191,79.57163,68.19406,115.7744,60.20874,74.10938,0
4.051464,1.630334,79.44131,66.86405,113.6046,61.36585,75.9308,0
3.93403,1.447476,79.41343,66.51152,111.4735,62.56154,77.10714,0
3.217544,1.143629,79.3452,67.76498,106.049,66.61146,76.95536,0
3.217544,1.143629,79.3452,67.76498,106.049,66.61146,76.95536,0
2.271524,0.8988423,79.12365,70.17352,99.92706,70.95652,75.4375,0
1.734499,0.8077347,79.12514,71.84247,97.05983,73.3371,74.26116,0
0.7700865,0.6037675,79.13518,74.63699,91.59658,77.82948,72.47768,0
0.3637436,0.5291621,79.08784,75.84018,89.31054,79.59571,71.60491,0
-0.02759952,0.4455956,79.05932,76.84931,87.14074,81.47713,70.77009,0
-0.2917696,0.3213915,78.98854,77.08219,85.12592,83.08978,70.65625,0
-0.5463951,0.3055314,78.78868,77.81963,83.7698,83.8577,69.70759,0
-0.749299,0.2314882,79.09512,78.47945,82.76239,85.35516,69.78349,0
-0.6894642,0.2327926,79.25777,78.51826,83.07236,85.20158,70.23884,0
-0.6810987,0.2059814,79.71784,78.86758,83.30484,85.73913,70.95982,0
-0.5974262,0.1930466,79.72578,78.44064,83.57607,85.54715,71.33929,0
-0.4496831,0.2538207,79.86163,78.47945,84.62222,84.66403,71.6808,0
-0.292754,0.2974227,79.86182,78.20776,85.47465,83.74252,72.02232,0
-0.1284055,0.3139611,79.71624,77.54794,86.05584,82.8594,72.40179,0
0.1409241,0.3467944,79.52222,76.5,87.14074,81.47713,72.97099,0
0.3569198,0.3982869,79.4542,76.1895,87.99316,80.01807,73.61607,0
0.8647851,0.4717534,79.46992,75.10274,90.08547,77.29192,75.39955,0
1.718436,0.5340183,79.48103,72.46347,93.57265,73.49068,78.39732,0
2.249598,0.5594406,79.48522,70.60046,95.7812,71.34048,80.21875,0
2.249598,0.5594406,79.48522,70.60046,95.7812,71.34048,80.21875,0
3.197908,0.672958,79.20758,67.25576,100.0433,67.03574,82.49554,0
3.607772,0.7669716,79.36671,66.43318,102.4456,65.03006,83.55804,0
4.294641,0.9689901,79.61217,65.21889,106.8627,61.44299,84.92411,0
4.573693,1.065768,79.55315,64.59216,108.645,59.8616,85.11384,0
4.820984,1.124511,79.63721,64.04378,110.1561,58.66591,85.68304,0
5.078657,1.179531,79.44123,63.10369,111.396,57.35451,85.91071,0
5.275214,1.249576,79.5276,62.59447,113.0234,56.50595,85.98661,0
5.483035,1.357756,79.38482,61.8894,114.8444,55.42598,85.37946,0
